,control1,lps1,control2,lps2,control3,lps3
U2AF2,8507,6373,5969,5231,6853,6847
U2SURP,5322,4438,3878,4174,3957,4287
UACA,567,311,404,380,525,334
UAP1,1265,820,1236,967,921,776
UAP1L1,5246,1572,3788,1404,7384,2069
UBA1,19068,18450,15808,21885,17344,18974
UBA2,4550,3625,3881,3151,3500,4128
UBA3,3645,4636,3125,4297,3297,4194
UBA5,2162,1054,1618,866,1410,1003
UBA52,13416,7223,10219,5537,11978,7682
UBA6,4489,4755,3092,6258,3741,4522
UBA6-AS1,379,389,234,300,464,393
UBA7,2950,4307,2212,6451,2763,3709
UBAC1,4619,1881,3251,1385,3738,2012
UBAC2,2281,1890,2102,2099,2489,2404
UBAC2-AS1,17,17,12,21,11,14
UBALD1,846,650,707,566,606,570
UBALD2,1348,3258,1380,3231,1645,3048
UBAP1,3917,5576,4092,4778,3822,5916
UBAP1L,38,22,31,18,53,43
UBAP2,3181,1421,2477,1313,2406,1472
UBAP2L,10595,8085,8053,7462,8733,7945
UBASH3A,4,21,11,6,49,37
UBASH3B,5885,1444,5905,1416,6957,1960
UBB,14343,15450,15366,13842,16422,16054
UBC,20485,28048,26455,41576,18760,26947
UBD,2,76,0,203,2,41
UBE2A,3759,4140,3371,4604,3829,4238
UBE2B,1862,3021,1865,3506,1726,2528
UBE2C,597,10,42,6,25,11
UBE2D1,2080,6012,2284,5635,1977,5732
UBE2D2,3522,3728,3225,3330,3216,3026
UBE2D3,13785,19393,14525,20622,12719,18356
UBE2D4,1063,751,869,718,1019,627
UBE2DNL,0,0,0,0,0,0
UBE2E1,4616,5674,4054,4516,4078,4841
UBE2E2,1762,1728,1474,1083,1729,1584
UBE2E2-AS1,0,2,0,0,0,1
UBE2E3,1532,940,1092,855,1699,1059
UBE2F,1485,1253,1490,1570,1496,1173
UBE2F-SCLY,0,0,0,0,1,1
UBE2G1,3366,2172,2902,1825,2764,2359
UBE2G2,7257,2946,4456,2053,5780,2726
UBE2H,3599,3582,3305,3111,3359,3487
UBE2I,5546,4606,5133,4033,4226,4476
UBE2J1,8938,10064,11588,6583,6752,10510
UBE2J2,2360,1958,1980,1630,2142,2081
UBE2K,4957,4500,4579,3803,4446,4581
UBE2L3,6515,5546,5390,4928,5605,5770
UBE2L6,2515,9044,3406,14955,2299,6916
UBE2M,5166,3319,4142,2625,3615,3835
UBE2MP1,15,6,6,5,1,23
UBE2N,4709,3834,3615,3430,3831,4066
UBE2NL,0,2,0,2,2,3
UBE2O,1472,1777,1278,2052,1295,1848
UBE2Q1,4574,4882,4284,5519,4237,5445
UBE2Q2,2628,1584,1817,2101,2909,1466
UBE2Q2L,1,1,2,0,1,2
UBE2Q2P1,85,44,79,127,127,78
UBE2Q2P2,1,2,1,3,2,2
UBE2Q2P3,1,0,0,0,0,0
UBE2QL1,0,0,0,1,0,0
UBE2R2,4424,3976,5522,4387,4558,4341
UBE2S,1678,2547,924,3603,815,2092
UBE2T,316,62,47,42,62,67
UBE2U,0,0,0,0,0,0
UBE2V1,96,80,72,80,62,78
UBE2V2,2651,1726,2600,1549,2215,1732
UBE2W,3040,4924,3610,4925,2781,4993
UBE2Z,6173,12533,6914,14502,5097,11235
UBE3A,5765,3885,4484,3413,6477,4212
UBE3B,3967,4449,4016,4159,3795,4094
UBE3C,8324,5884,6833,5281,6298,6098
UBE3D,153,33,75,7,109,26
UBE4A,5913,6538,6012,5913,6161,7157
UBE4B,5250,2698,4487,1724,5307,3440
UBFD1,1718,1306,1316,1094,1283,1363
UBIAD1,1349,867,953,679,1007,761
UBL3,4142,6350,4831,5621,4533,6333
UBL4A,2316,1165,2439,978,2193,1334
UBL4B,1,0,0,0,0,0
UBL5,2490,1876,2251,1588,2707,1992
UBL7,1544,1191,1265,1078,1319,1043
UBL7-AS1,89,53,61,65,66,59
UBLCP1,2352,2348,2542,2342,2125,2101
UBN1,4683,4670,3684,4606,5001,5606
UBN2,1960,2077,1908,2404,2306,2364
UBOX5,310,358,316,395,324,403
UBOX5-AS1,4,7,6,7,9,7
UBP1,5487,5242,4730,5720,4365,4906
UBQLN1,11773,12684,10679,10648,9898,13046
UBQLN2,3302,4156,3062,4167,3258,3801
UBQLN3,0,0,0,0,0,0
UBQLN4,3414,2191,2693,2468,2397,2426
UBQLNL,9,17,5,39,9,19
UBR1,2403,3526,2482,2880,2573,3802
UBR2,4023,5097,4656,5219,4264,5029
UBR3,3912,3130,4015,2627,3795,3755
UBR4,15429,25667,13641,24828,16365,26737
UBR5,10066,7027,9083,5891,9607,7975
UBR7,3113,2077,3717,1451,2355,2443
UBTD1,2703,1497,3593,1095,2141,1816
UBTD2,1390,1273,1717,1451,1570,1877
UBTF,4604,4073,4831,4033,4694,4214
UBTFL1,0,0,0,0,0,0
UBXN1,3235,2595,2198,2021,3000,2666
UBXN10,2,1,2,1,0,0
UBXN10-AS1,0,0,3,0,0,0
UBXN11,3195,540,1822,349,3074,981
UBXN2A,464,525,403,1228,484,620
UBXN2B,2388,2144,2420,2077,2940,2507
UBXN4,7923,10123,8710,11217,7945,9724
UBXN6,5324,4068,6176,3450,5260,4110
UBXN7,2406,1913,2625,1659,2361,2089
UBXN7-AS1,2,3,4,5,0,3
UBXN8,572,243,413,195,436,235
UCA1,1,0,0,0,0,0
UCHL1,770,287,1696,387,1092,557
UCHL1-AS1,0,0,0,0,0,0
UCHL3,1068,277,1215,253,868,396
UCHL5,2643,1030,1993,819,1685,1104
UCK1,1024,1090,815,1152,1252,1294
UCK2,2089,864,1430,621,1042,759
UCKL1,1143,758,787,751,1063,794
UCKL1-AS1,89,37,41,56,69,91
UCMA,1,0,0,0,0,0
UCN,26,28,39,16,32,20
UCN2,28,4,15,6,7,11
UCN3,0,0,0,0,0,0
UCP1,0,1,0,3,0,0
UCP2,8119,9263,16920,7695,17125,17424
UCP3,131,83,155,66,135,107
UEVLD,2354,2290,2411,2632,2829,2602
UFC1,3229,2785,3171,2434,3815,2939
UFD1L,2319,2621,2023,2352,2144,2987
UFL1,3609,3097,3901,2783,3588,3060
UFM1,4597,4899,4507,3679,4625,4847
UFSP1,39,16,23,3,28,9
UFSP2,928,618,845,445,968,666
UG0898H09,1,0,0,0,0,0
UGCG,1900,4551,2954,3998,2612,3814
UGDH,1908,1805,2000,1598,1421,1683
UGDH-AS1,131,123,109,109,132,106
UGGT1,11957,5891,8728,5271,11538,6355
UGGT2,1049,810,1214,765,770,756
UGP2,5411,11850,5237,10411,5539,11843
UGT1A1,0,0,0,0,0,0
UGT1A10,0,0,0,0,0,0
UGT1A3,0,0,0,0,0,0
UGT1A4,0,0,0,0,0,0
UGT1A5,0,0,0,0,0,0
UGT1A6,0,0,0,0,0,0
UGT1A7,0,0,0,0,0,0
UGT1A8,0,0,0,0,0,0
UGT1A9,0,0,0,0,0,0
UGT2A1,0,0,0,0,0,0
UGT2A2,0,0,0,0,0,0
UGT2A3,0,0,0,0,0,0
UGT2B10,0,0,0,0,0,0
UGT2B11,0,0,0,0,0,0
UGT2B15,0,0,0,0,0,0
UGT2B17,0,0,0,0,0,0
UGT2B28,0,0,0,0,0,0
UGT2B4,0,0,0,1,0,0
UGT2B7,0,0,0,0,0,0
UGT3A1,8,0,2,0,23,3
UGT3A2,0,1,1,1,0,1
UGT8,0,3,0,0,2,3
UHMK1,12630,10469,11809,11024,11508,10518
UHRF1,1899,105,153,58,216,131
UHRF1BP1,5110,6245,7792,9884,5956,7034
UHRF1BP1L,3950,3961,4072,3408,3586,4351
UHRF2,1498,1006,1142,1140,1133,937
UIMC1,703,561,463,526,603,612
ULBP1,20,3,8,12,5,6
ULBP2,19,9,129,55,7,9
ULBP3,26,1,4,1,9,5
ULK1,1651,1870,1406,2532,1483,1913
ULK2,1232,3416,1310,3997,1894,2347
ULK3,2314,1014,1691,833,2819,1284
ULK4,200,158,412,374,212,187
ULK4P1,3,5,0,13,2,2
ULK4P2,15,17,16,32,27,27
ULK4P3,15,17,21,26,67,53
UMOD,0,0,0,0,0,0
UMODL1,8,0,23,3,9,0
UMPS,1584,661,998,567,1058,714
UNC119,1544,1353,969,1441,1664,1539
UNC119B,1157,646,726,459,1305,998
UNC13A,29,269,96,229,12,659
UNC13B,1937,1607,1891,2198,2707,1814
UNC13C,17,4,25,7,11,4
UNC13D,5489,8150,5953,8465,6667,8135
UNC45A,2640,2515,2184,2724,2729,2515
UNC45B,2,1,6,0,2,0
UNC50,1555,1560,1610,1560,1725,1849
UNC5A,752,209,1309,87,242,237
UNC5B,605,185,1153,52,467,103
UNC5B-AS1,0,0,0,0,0,1
UNC5C,2,97,3,207,0,57
UNC5CL,58,57,68,78,100,88
UNC5D,0,0,0,0,0,0
UNC79,15,25,22,18,18,21
UNC80,32,8,38,4,35,4
UNC93A,0,0,0,0,0,0
UNC93B1,7828,13162,4160,16593,8345,11281
UNCX,0,0,0,0,0,0
UNG,1355,200,714,381,632,306
UNK,1849,2549,2120,2867,1888,2342
UNKL,587,714,639,1069,537,806
UNQ6494,4,128,19,141,1,60
UNQ9370,0,0,0,0,0,0
UOX,7,1,6,0,3,0
UPB1,0,324,1,305,2,200
UPF1,7000,7315,5699,7267,7122,8032
UPF2,3879,3445,3210,3768,3445,3741
UPF3A,1885,1339,1060,779,1705,1457
UPF3B,897,855,729,1126,884,903
UPK1A,3,2,1,0,2,1
UPK1A-AS1,0,1,0,0,1,1
UPK1B,0,0,0,1,0,1
UPK2,1,3,0,1,0,1
UPK3A,0,0,0,2,1,0
UPK3B,9,104,31,154,12,96
UPK3BL,0,0,2,0,0,1
UPP1,1685,6546,3269,6709,2181,11662
UPP2,0,0,5,0,1,0
UPRT,731,698,704,585,805,769
UQCC1,1772,1093,2010,1127,1541,1338
UQCC2,849,352,512,257,674,332
UQCR10,2814,1700,3303,1476,3126,2019
UQCR11,3749,2166,3909,1893,3553,2165
UQCRB,6256,3345,7476,2938,5729,3620
UQCRBP1,8,5,3,7,1,10
UQCRC1,8693,4882,9484,4833,7604,5434
UQCRC2,11151,4760,13022,4156,9449,4891
UQCRFS1,4341,2780,5168,3106,3546,2957
UQCRH,3360,1330,3566,1114,2612,1461
UQCRHL,376,147,258,75,370,209
UQCRQ,2296,938,2205,790,2163,996
URAD,0,0,0,0,0,0
URAHP,20,14,20,9,17,14
URB1,2558,721,1289,445,1465,664
URB2,1092,285,575,244,688,331
URGCP,1347,1325,1233,2201,1212,1336
URGCP-MRPS24,0,1,0,0,0,0
URI1,2506,1149,1869,1186,1944,1192
URM1,2406,1761,1928,1607,2417,1888
UROC1,5,0,1,1,2,0
UROD,2709,1706,1953,1534,2637,1626
UROS,2143,825,1728,729,1717,863
USB1,3345,4283,2835,2948,2786,4028
USE1,515,312,423,263,606,425
USF1,2846,4221,2651,4597,3582,4690
USF2,9500,3691,10055,2820,13540,4188
USH1C,0,0,0,0,0,0
USH1G,0,0,0,0,1,0
USH2A,1,4,3,0,1,1
USHBP1,0,0,0,0,1,0
USMG5,1770,1022,1670,870,1403,1027
USO1,8902,8928,10213,8653,7924,9264
USP1,2254,1419,1058,1451,1307,1399
USP10,4359,3363,3517,2886,3542,3205
USP11,1537,4077,1650,5252,1709,3937
USP12,6583,7017,9551,8624,4682,7247
USP12-AS2,2,2,4,3,1,4
USP13,1035,831,504,870,357,741
USP14,4689,3307,3936,3616,3842,3484
USP15,4673,8345,5546,9544,5291,7814
USP16,2743,2712,2585,2573,2323,2632
USP17L10,0,0,0,0,0,0
USP17L11,0,0,0,0,0,0
USP17L12,0,0,0,0,0,0
USP17L13,0,0,0,0,0,0
USP17L15,0,0,0,0,0,0
USP17L17,0,0,0,0,0,0
USP17L18,0,0,0,0,0,0
USP17L19,0,0,0,0,0,0
USP17L1P,0,0,0,0,0,0
USP17L2,2,0,1,0,0,0
USP17L20,0,0,0,0,0,0
USP17L21,0,0,0,0,0,0
USP17L22,0,0,0,0,0,0
USP17L24,0,0,0,0,0,0
USP17L25,0,0,0,0,0,0
USP17L26,0,0,0,0,0,0
USP17L27,0,0,0,0,0,0
USP17L28,0,0,0,0,0,0
USP17L29,0,0,0,0,0,0
USP17L3,0,0,0,0,0,0
USP17L30,0,0,0,0,0,0
USP17L4,0,0,0,0,0,0
USP17L5,0,0,0,0,0,0
USP17L6P,0,0,0,0,0,0
USP17L7,2,0,1,2,2,0
USP17L8,0,0,0,0,0,0
USP17L9P,0,0,0,0,0,0
USP18,222,5640,187,11719,133,3886
USP19,4128,3886,3114,3503,3698,3847
USP2,1413,220,4854,145,932,492
USP2-AS1,40,2,95,0,23,2
USP20,1280,1101,791,1207,1148,1184
USP21,729,619,551,564,766,650
USP22,11735,8003,9501,6143,8907,7903
USP24,6905,4702,5404,5102,7042,5319
USP25,3306,4457,3227,6648,3012,3861
USP26,0,0,0,0,0,0
USP27X,100,129,67,80,123,113
USP27X-AS1,47,31,44,26,65,31
USP28,1421,1853,1705,2468,1161,1719
USP29,0,0,0,0,0,1
USP3,2879,3342,2440,2497,2764,3998
USP3-AS1,32,54,15,28,38,55
USP30,570,407,540,377,750,413
USP30-AS1,27,193,56,315,78,162
USP31,976,493,566,427,954,493
USP32,4642,7465,4655,6126,5172,8887
USP32P1,432,342,19,12,962,641
USP32P2,188,133,723,475,7,8
USP33,3501,4202,3239,5627,3599,4009
USP34,7596,6645,6274,5087,7217,7505
USP35,479,409,461,439,583,481
USP36,2839,1644,2221,1654,2521,1568
USP37,1317,1528,1284,1563,1320,1826
USP38,2187,2815,2845,2648,2284,2905
USP39,2976,2159,2276,1846,2509,2278
USP4,6037,5863,5677,5586,6264,6132
USP40,2023,1804,2603,2537,2089,2156
USP41,8,7,2,29,8,6
USP42,752,1167,630,1413,716,1096
USP43,39,3,6,28,13,6
USP44,4,8,7,4,10,5
USP45,812,625,664,697,615,570
USP46,1235,447,1033,652,943,445
USP46-AS1,56,42,70,91,45,28
USP47,3243,4257,3765,4151,3829,4857
USP48,3410,2242,2926,2411,3103,2176
USP49,503,423,730,311,652,417
USP5,4279,2766,3410,2071,3908,3027
USP50,1,11,1,7,1,9
USP51,112,87,143,95,192,108
USP53,426,682,505,1320,373,846
USP54,729,635,648,673,836,710
USP6,28,46,37,32,19,36
USP6NL,1077,1461,1083,1264,1058,1359
USP6NL-IT1,141,186,191,157,166,194
USP7,9266,6626,7855,5511,8203,7489
USP8,5818,5679,6024,5454,6091,6478
USP9X,11652,9728,9910,9624,12916,10314
USP9Y,0,0,0,0,1,0
USPL1,1710,1427,1281,1430,1565,1568
UST,166,33,113,121,29,23
UTF1,9,3,0,1,4,0
UTP11L,1845,1233,1516,986,1691,1553
UTP14A,1418,793,949,690,1036,793
UTP14C,1689,2005,1744,1729,1647,1960
UTP15,1070,539,714,434,749,497
UTP18,2268,1645,2182,1259,2232,1611
UTP20,2597,956,1695,701,1920,922
UTP23,938,1410,844,878,792,1143
UTP3,2306,2085,2009,1750,1851,1943
UTP6,2625,2404,3145,2310,2584,2649
UTRN,6185,4879,6706,4961,8181,4498
UTS2,1,2,735,430,10,1
UTS2B,0,0,1,0,0,1
UTS2R,16,5,73,25,37,6
UTY,0,0,0,2,0,0
UVRAG,1985,2042,1612,1636,1642,1835
UVSSA,1621,1345,1885,1840,1929,1487
UXS1,3782,8167,5925,7418,2729,9316
UXT,1207,953,1209,809,1180,1041
UXT-AS1,1,5,15,2,10,7
VAC14,10042,8079,9885,6330,11142,9368
VAC14-AS1,27,33,20,16,30,48
VAMP1,672,1619,1230,1856,773,2061
VAMP2,1145,2259,1514,1762,1512,2329
VAMP3,7997,7325,8089,7341,9326,7360
VAMP4,1560,2104,1337,1886,1578,2244
VAMP5,92,548,122,824,111,347
VAMP7,3415,3256,3910,2709,3598,3371
VAMP8,7383,4116,5952,3858,8578,3984
VANGL1,563,191,578,1244,554,299
VANGL2,69,13,190,6,28,26
VAPA,7621,7467,10564,11417,7071,8356
VAPB,1856,1836,2032,1726,2061,1887
VARS,6847,1564,3935,731,4382,1377
VARS2,1584,889,1149,910,1221,1035
VASH1,11360,5699,10623,1911,11222,5956
VASH2,6,13,7,17,8,7
VASN,34,310,29,93,50,83
VASP,15314,19222,17330,13036,14731,23618
VAT1,20776,7613,25075,7344,30406,8183
VAT1L,2,0,28,2,9,0
VAV1,4750,6203,3319,2562,5360,6469
VAV2,1353,1191,634,2845,899,972
VAV3,4366,2193,2023,1708,4035,3018
VAV3-AS1,9,12,9,22,0,21
VAX1,0,0,0,0,0,0
VAX2,1,9,1,6,2,14
VBP1,1366,1191,1314,1204,1256,1324
VCAM1,8,9,17,6,7,2
VCAN,1363,4730,323,2906,1106,10370
VCL,10075,4072,7941,2826,7559,3580
VCP,18765,19361,17605,19507,18753,21904
VCPIP1,2414,3501,2194,4122,2491,3200
VCPKMT,392,287,298,268,384,363
VCX,0,0,0,0,0,0
VCX2,0,0,0,0,0,0
VCX3A,0,0,0,0,0,0
VCX3B,0,0,0,0,0,0
VCY,0,0,0,0,0,0
VCY1B,0,0,0,0,0,0
VDAC1,15103,7782,13027,6506,10847,7318
VDAC2,4398,2562,4634,2661,3309,2742
VDAC3,5679,3736,5299,3500,4687,3862
VDR,4654,12868,4534,7535,4334,13239
VEGFA,964,5117,715,8007,476,4261
VEGFB,2869,1151,2691,1336,4954,1514
VEGFC,0,62,0,82,0,35
VENTX,357,85,5,60,333,108
VENTXP1,0,0,0,0,0,0
VENTXP7,0,0,0,0,0,0
VEPH1,1,3,8,7,5,3
VEZF1,2668,2828,1801,3449,2874,2943
VEZT,2223,2500,2366,2268,2167,2566
VGF,1,4,3,2,1,5
VGLL1,0,0,0,0,0,0
VGLL2,0,0,0,0,0,0
VGLL3,0,0,0,0,0,0
VGLL4,1892,883,2083,902,1629,1092
VHL,3825,3981,2558,3843,3840,3686
VHLL,0,0,0,0,0,1
VIL1,1,26,4,71,1,14
VILL,256,453,195,181,138,254
VIM,176481,156377,156513,111201,143528,144958
VIM-AS1,152,154,206,168,124,158
VIMP,1330,2312,1442,2487,1489,2094
VIP,0,0,0,0,0,0
VIPAS39,1618,1582,1314,1663,1646,1579
VIPR1,51,12,72,7,63,24
VIPR2,0,2,0,10,0,1
VIT,22,2,71,2,3,1
VKORC1,2773,2322,2687,2084,3182,2422
VKORC1L1,3184,1446,4348,1299,2661,1454
VLDLR,35,19,127,71,60,48
VLDLR-AS1,0,0,2,0,0,0
VMA21,2446,1201,1782,1032,1769,1245
VMAC,308,222,413,211,368,233
VMO1,80,194,38,465,50,294
VMP1,5951,8055,6294,6864,6050,8063
VN1R1,11,8,21,9,19,4
VN1R10P,0,0,0,0,0,0
VN1R2,0,0,0,0,0,0
VN1R4,0,0,0,0,0,0
VN1R5,0,0,0,2,0,0
VNN1,2102,1783,940,607,613,796
VNN2,1419,1264,167,751,1021,983
VNN3,15,105,3,152,13,92
VOPP1,4643,4733,5215,3428,3646,4262
VPRBP,2870,2502,2414,2070,2705,2738
VPREB1,0,0,0,0,0,0
VPREB3,4,0,2,1,0,1
VPS11,3425,3871,3847,3527,3599,4090
VPS13A,2977,1443,1910,2402,2408,1633
VPS13A-AS1,0,0,0,0,0,0
VPS13B,4069,3931,3883,3471,4151,3989
VPS13C,12718,9188,9833,8061,13353,8619
VPS13D,6323,4716,6038,4154,6244,5608
VPS16,1354,1392,1179,1273,1762,1556
VPS18,3337,2696,3022,2573,3944,2759
VPS25,1698,1268,1726,837,1753,1385
VPS26A,5686,4805,6268,5226,5491,5030
VPS26B,3970,1785,3154,1297,3694,1739
VPS28,2063,1313,1749,1229,2090,1351
VPS29,3591,3843,3421,3932,3683,3632
VPS33A,2230,2334,2079,2041,2280,2351
VPS33B,875,907,796,987,857,845
VPS35,9754,5451,7220,4673,10014,5839
VPS36,3862,2874,3410,2725,3668,2622
VPS37A,2149,2674,2094,2245,2185,2985
VPS37B,2548,1630,1980,1303,2003,2008
VPS37C,3000,7639,4081,6143,2525,6436
VPS37D,0,0,1,0,0,1
VPS39,5493,5667,5752,5671,5990,5961
VPS41,5625,4814,6031,4824,5922,4655
VPS45,1741,1395,1762,1029,2129,1833
VPS4A,3849,3447,3383,2896,3734,3682
VPS4B,3713,4537,3787,5086,4001,4627
VPS51,2210,1706,2245,1762,2153,1682
VPS52,2749,2733,2661,2314,2876,2738
VPS53,3004,3894,2850,1985,5456,5886
VPS54,2055,2116,1920,2221,2425,2285
VPS72,1279,1425,1011,1282,1322,1527
VPS8,2443,2711,2491,3183,2835,2358
VPS9D1,741,1715,699,893,855,2033
VPS9D1-AS1,190,124,52,47,79,204
VRK1,660,297,272,256,365,276
VRK2,1552,3117,1189,3717,1448,3245
VRK3,1028,1711,1022,1671,1271,1786
VRTN,0,1,0,0,0,0
VSIG1,2,1,6,2,17,7
VSIG10,514,431,361,935,379,350
VSIG10L,249,534,239,866,359,466
VSIG2,24,3,45,4,6,3
VSIG4,10108,1736,3368,793,14918,2360
VSIG8,7,2,6,16,1,1
VSNL1,22,39,25,24,7,17
VSTM1,35,0,2,0,98,5
VSTM2A,0,0,0,0,0,0
VSTM2B,3,0,0,0,0,0
VSTM2L,160,28,889,46,16,18
VSTM4,12,28,8,59,0,13
VSTM5,0,0,0,0,1,0
VSX1,3,0,0,0,0,0
VSX2,0,0,0,0,0,0
VTA1,2394,2216,2204,1953,2158,2360
VTCN1,0,1,0,0,0,0
VTI1A,1849,1673,1712,1763,2086,1943
VTI1B,2663,1678,2484,1518,3076,1810
VTN,2,129,9,484,7,97
VTRNA1-1,1,3,0,0,0,2
VTRNA1-2,0,0,0,0,0,0
VTRNA1-3,0,2,0,1,1,0
VTRNA2-1,2,0,0,0,0,1
VWA1,69,7,37,17,7,4
VWA2,0,0,0,0,0,0
VWA3A,5,3,3,1,7,6
VWA3B,0,2,0,5,0,1
VWA5A,1598,1354,2558,1211,1824,1571
VWA5B1,0,0,0,0,1,1
VWA5B2,1,0,1,1,0,0
VWA7,39,16,12,9,25,13
VWA8,2376,3049,3311,1895,1810,4022
VWA8-AS1,2,2,4,1,5,1
VWA9,1751,2080,1563,2370,1603,2341
VWC2,0,0,0,0,0,0
VWC2L,0,0,0,0,0,0
VWC2L-IT1,0,0,0,1,0,0
VWCE,323,141,645,549,107,87
VWDE,0,0,2,11,0,2
VWF,504,57,498,20,617,83
WAC,8312,9236,7617,9780,8304,9854
WAC-AS1,1359,890,1617,1277,1102,814
WAPAL,5661,5325,4954,5027,5567,5803
WARS,20819,48130,38297,82519,12621,37020
WARS2,454,226,381,256,342,201
WAS,4033,3927,2186,2427,4420,4407
WASF1,307,111,62,86,121,126
WASF2,16885,15657,20457,17528,18237,16032
WASF3,17,16,15,25,6,28
WASH1,300,278,143,117,317,309
WASH2P,240,253,254,228,347,222
WASH3P,223,232,154,172,139,169
WASH5P,1,9,20,24,5,3
WASH7P,169,182,129,187,183,226
WASIR2,1,0,2,0,3,0
WASL,853,1679,1004,2199,944,1826
WBP1,49,33,47,38,44,48
WBP11,5696,5767,5102,5709,4670,5554
WBP11P1,11,5,3,3,3,0
WBP1L,4263,5671,4135,4553,5964,5796
WBP2,7856,12080,8404,12499,8005,10962
WBP2NL,12,3,8,7,8,7
WBP4,913,1415,1038,1681,935,1624
WBP5,1011,1398,991,1483,1112,1417
WBSCR16,2421,1756,2120,1717,2188,1852
WBSCR17,0,0,0,0,0,0
WBSCR22,1526,911,1027,715,1400,1007
WBSCR27,3,5,0,6,9,4
WBSCR28,0,0,0,0,0,0
WDFY1,7422,7227,7993,8041,7248,6263
WDFY2,1307,851,586,996,1341,949
WDFY3,8744,9734,8039,6702,9663,11081
WDFY3-AS2,24,15,24,8,21,19
WDFY4,15853,13005,18479,10619,13242,13772
WDHD1,1158,631,401,244,591,812
WDPCP,190,129,176,85,180,107
WDR1,28925,21092,35004,19664,29216,23214
WDR11,12646,5529,9905,5496,11383,5852
WDR11-AS1,13,5,5,3,9,4
WDR12,1825,527,1201,358,1123,547
WDR13,1962,1479,1764,1438,1954,1481
WDR16,1,1,3,0,0,0
WDR17,73,33,20,24,78,28
WDR18,1202,397,908,463,1063,545
WDR19,676,752,593,857,649,802
WDR20,1121,1161,1122,1096,1193,1371
WDR24,793,695,794,631,764,762
WDR25,211,147,300,174,185,167
WDR26,11752,9333,11988,7680,11436,10129
WDR27,330,111,161,99,222,117
WDR3,2338,628,1073,488,1258,558
WDR31,72,41,85,50,63,39
WDR33,3484,3454,3081,3661,3720,3807
WDR34,512,109,136,137,196,147
WDR35,801,163,308,93,377,162
WDR36,3639,1891,2620,1530,3575,1902
WDR37,3906,2862,3827,2256,3778,2912
WDR38,2,0,1,1,0,2
WDR4,755,245,374,173,504,223
WDR41,1959,1249,1873,1246,2043,1343
WDR43,3458,1287,2566,1062,2200,1229
WDR44,1535,1288,1288,1421,1471,1247
WDR45,1003,1210,1010,1670,1124,1234
WDR45B,3825,3875,3398,3774,4167,4110
WDR46,1801,927,1196,638,1591,907
WDR47,1328,1945,1305,2217,1382,2113
WDR48,1428,2187,1496,2726,1388,2029
WDR49,3,2,2,4,2,5
WDR5,2117,944,1121,943,1557,1051
WDR52,482,215,183,144,468,289
WDR52-AS1,2,0,0,0,1,0
WDR53,312,316,266,283,272,342
WDR54,74,38,22,50,39,56
WDR55,1900,1780,1580,1794,1832,1906
WDR59,968,610,738,795,905,632
WDR5B,403,361,342,275,387,339
WDR6,4087,2582,3191,3443,4139,3093
WDR60,705,408,425,270,703,383
WDR61,1468,735,1052,555,1280,744
WDR62,629,61,480,64,288,94
WDR63,168,219,194,276,211,141
WDR64,0,1,3,3,0,1
WDR65,4,4,0,0,2,4
WDR66,25,14,12,38,39,53
WDR7,3634,2701,4481,2045,3659,2415
WDR70,990,782,815,795,990,764
WDR72,0,0,0,0,0,0
WDR73,1045,664,861,546,981,848
WDR74,872,416,558,361,676,435
WDR75,1706,969,1037,765,1412,986
WDR76,814,206,104,216,148,239
WDR77,2150,668,1306,483,2158,757
WDR78,34,19,36,34,30,34
WDR81,8099,5001,6263,3285,9555,4795
WDR82,6885,6910,7097,6661,6592,7531
WDR83,679,639,699,536,594,690
WDR83OS,1245,663,1059,635,1411,699
WDR86,3,37,0,61,1,14
WDR86-AS1,2,0,0,0,1,2
WDR87,0,0,0,0,0,0
WDR88,41,35,59,30,44,28
WDR89,785,406,524,266,474,360
WDR90,827,178,263,169,351,226
WDR91,2484,1312,2522,914,3931,1552
WDR92,566,298,524,224,563,283
WDR93,3,5,1,4,2,1
WDR96,9,5,3,6,7,7
WDSUB1,704,596,608,623,743,626
WDTC1,3171,2881,3020,2947,3679,3040
WDYHV1,275,189,277,240,221,172
WEE1,406,27,44,40,32,23
WEE2,1,4,2,4,2,4
WEE2-AS1,49,46,41,45,31,15
WFDC1,3,0,4,0,2,1
WFDC10A,0,0,0,0,0,0
WFDC10B,0,1,5,1,1,2
WFDC11,0,0,0,0,0,0
WFDC12,0,0,0,0,0,0
WFDC13,0,0,3,2,2,1
WFDC2,2,3,2,9,2,4
WFDC3,5,6,8,6,6,3
WFDC5,0,0,0,0,0,0
WFDC6,0,0,0,0,0,0
WFDC8,0,0,0,0,0,0
WFDC9,0,0,0,0,0,0
WFIKKN1,5,2,5,3,7,2
WFIKKN2,14,2,57,9,9,6
WFS1,2229,2879,3431,1611,798,1663
WHAMM,1137,1423,987,1450,1192,1411
WHAMMP1,184,174,108,222,287,197
WHAMMP2,20,26,18,13,35,30
WHAMMP3,17,36,5,6,13,15
WHSC1,3953,1477,2001,1346,3015,1723
WHSC1L1,5159,4821,3713,4946,4371,4882
WI2-2373I1.2,0,1,1,0,0,0
WI2-81516E3.1,0,0,0,0,0,0
WIBG,1266,1144,947,1050,1192,1201
WIF1,0,0,0,0,0,0
WIPF1,22130,14591,17731,18225,18757,14110
WIPF2,2989,4066,2983,4088,3542,4437
WIPF3,75,5,154,4,82,4
